paulie    	 268	65,66,68,69,72,72,73,77,85,85
ernst     	 276	66,68,70,72,75,75,75,76,85,85
jimj      	 277	68,68,69,72,72,74,76,85,85,85
pt        	 278	68,69,70,71,72,74,74,75,85,85
sally     	 280	68,70,70,72,72,72,76,77,77,85
robt      	 280	68,70,70,72,72,74,74,75,75,75
johnsr    	 280	68,69,71,72,75,75,75,77,85,85
ron       	 280	65,68,72,75,75,75,76,85,85,85
bryan     	 280	68,68,72,72,75,76,77,85,85,85
jerry     	 281	68,70,71,72,73,73,75,75,77,77
jamesc    	 281	68,69,71,73,73,74,75,75,77,85
wayne     	 281	68,68,72,73,73,75,75,75,85,85
tanja     	 281	68,69,72,72,74,75,76,85,85,85
mac       	 281	65,72,72,72,75,75,75,76,85,85
mike      	 282	69,70,71,72,72,73,74,77,85,85
robg      	 282	68,70,72,72,73,74,75,75,85,85
spitz     	 283	68,71,72,72,72,75,75,85,85,85
dano      	 284	69,71,72,72,72,73,85,85,85,85
butch     	 284	68,71,72,73,73,74,75,77,85,85
ben       	 284	68,71,72,73,73,75,75,77,85,85
peter     	 284	69,70,71,74,75,75,76,77,85,85
john      	 285	70,71,72,72,72,74,74,75,75,76
vince     	 285	70,70,72,73,73,74,77,77,85,85
dave      	 285	70,71,72,72,75,75,75,85,85,85
prodan    	 286	71,71,72,72,72,72,75,77,85,85
crockett  	 286	71,71,72,72,72,72,75,85,85,85
judy      	 286	71,71,72,72,72,73,75,77,77,85
nick      	 286	70,71,72,73,74,75,76,76,85,85
tina      	 286	71,71,72,72,75,75,75,76,77,85
frankie   	 287	71,72,72,72,73,74,75,77,85,85
jimi      	 288	71,72,72,73,73,75,75,77,77,85
nando     	 289	71,72,72,74,74,75,75,76,76,85
joe       	 290	68,72,75,75,76,77,85,85,85,85
tana      	 290	68,72,75,75,76,77,85,85,85,85
freddy    	 300	75,75,75,75,75,76,76,77,77,85
