Spitz     	 357	68,71,72,73,73,74,77,83,83,83
Ron       	 360	69,72,72,73,74,74,76,83,83,83
BobS      	 363	71,71,72,74,75,76,79,83,83,83
ProPaul   	 363	68,71,74,75,75,83,83,83,83,83
John      	 364	72,72,73,73,74,75,83,83,83,83
Vince     	 366	71,73,73,74,75,81,83,83,83,83
Peter     	 368	73,73,74,74,74,75,83,83,83,83
Tana      	 368	72,72,74,74,76,78,83,83,83,83
JohnSr    	 369	72,73,74,75,75,79,83,83,83,83
DonO      	 369	71,73,74,75,76,83,83,83,83,83
Freddy    	 369	71,73,74,75,76,83,83,83,83,83
Jerry     	 369	72,72,74,74,77,83,83,83,83,83
Jurga     	 370	71,74,75,75,75,76,80,83,83,83
Mac       	 371	69,74,74,76,78,83,83,83,83,83
JimJ      	 372	72,74,75,75,76,83,83,83,83,83
Dave      	 373	71,72,72,75,83,83,83,83,83,83
Mike      	 373	68,73,74,75,83,83,83,83,83,83
NickB     	 374	74,74,75,75,76,79,83,83,83,83
Russell   	 377	72,72,75,75,83,83,83,83,83,83
Gardiner  	 378	73,75,75,76,79,83,83,83,83,83
Nick      	 379	73,74,74,75,83,83,83,83,83,83
Dano      	 380	72,74,75,76,83,83,83,83,83,83
Wouter    	 380	74,75,75,76,80,83,83,83,83,83
Marco     	 389	74,74,75,83,83,83,83,83,83,83
Lopez     	 390	72,74,78,83,83,83,83,83,83,83
Robbie    	 390	73,75,76,83,83,83,83,83,83,83
PaulT     	 391	72,75,78,83,83,83,83,83,83,83
RobG      	 394	73,75,80,83,83,83,83,83,83,83
Crockett  	 401	74,78,83,83,83,83,83,83,83,83
