marco     	 267	65,65,68,69,71,72,74,80
jurga     	 276	68,68,69,71,76,80,80,80
hopper    	 278	68,69,70,71,74,77,80,80
robt      	 278	65,69,72,72,74,80,80,80
ron       	 279	68,69,70,72,77,80,80,80
tracy     	 279	68,68,71,72,74,77,80,80
freddy    	 281	68,69,70,74,80,80,80,80
nick      	 282	69,69,72,72,74,74,80,80
wouter    	 282	69,69,72,72,74,80,80,80
crockett  	 283	69,70,72,72,80,80,80,80
joeb      	 283	68,69,72,74,80,80,80,80
robg      	 283	68,69,72,74,80,80,80,80
jerry     	 284	69,69,72,74,75,80,80,80
jimj      	 284	69,70,71,74,74,80,80,80
mike      	 284	69,70,72,73,74,74,80,80
paulie    	 284	65,68,74,77,80,80,80,80
spitz     	 284	69,70,71,74,74,74,80,80
dave      	 285	68,69,74,74,77,80,80,80
mac       	 286	69,69,74,74,80,80,80,80
stack     	 286	69,69,74,74,74,80,80,80
dano      	 287	69,69,74,75,80,80,80,80
dono      	 287	68,71,74,74,80,80,80,80
prodan    	 287	68,70,72,77,80,80,80,80
vince     	 288	69,72,72,75,77,80,80,80
nickb     	 289	69,73,73,74,74,80,80,80
pault     	 289	69,72,74,74,80,80,80,80
john      	 295	69,72,74,80,80,80,80,80
johns     	 295	69,72,74,80,80,80,80,80
tana      	 295	68,70,77,80,80,80,80,80
margit    	 301	69,72,80,80,80,80,80,80
