Vince     	 343	67,68,69,69,70,71,71,72,74,78
Russell   	 344	68,68,69,69,70,70,70,74,75,80
DonO      	 345	68,68,69,70,70,71,73,73,78,83
PaulT     	 346	67,68,70,70,71,72,73,73,74,81
Dave      	 347	68,69,69,70,71,71,71,71,72,74
Marco     	 347	68,68,69,71,71,71,72,73,73,74
Gary      	 348	68,69,69,71,71,71,72,74,75,84
Peter     	 348	68,69,69,71,71,73,75,76,83,84
Tana      	 349	69,69,70,70,71,73,77,78,78,78
BobS      	 350	69,69,70,71,71,71,72,72,73,74
JohnSr    	 350	68,69,71,71,71,71,73,74,76,83
Spitz     	 350	68,68,69,72,73,73,74,75,78,81
Jerry     	 350	67,68,71,71,73,74,74,75,76,77
ProPaul   	 351	68,69,70,72,72,72,74,74,74,75
RobG      	 352	69,70,70,71,72,72,73,73,74,74
John      	 352	69,69,71,71,72,73,73,74,74,78
Mac       	 352	68,70,71,71,72,75,76,77,78,84
Wouter    	 353	69,69,71,72,72,73,73,73,75,79
Tracy     	 354	69,70,71,72,72,72,72,73,73,74
Crockett  	 354	69,71,71,71,72,72,73,74,74,74
Nick      	 354	69,71,71,71,72,73,73,73,74,83
Frankie   	 354	69,71,71,71,72,73,75,76,78,78
Tanja     	 355	69,71,71,72,72,73,73,73,75,78
Gardiner  	 355	69,71,71,72,72,73,73,74,74,74
Ron       	 355	69,69,71,73,73,73,74,74,76,84
Sallie    	 355	68,71,71,72,73,73,74,74,76,84
Mike      	 355	68,71,71,72,73,74,74,74,77,78
RobT      	 356	69,71,71,72,73,73,73,73,81,83
ProDan    	 357	69,71,72,72,73,73,73,73,74,80
Dano      	 357	69,71,71,73,73,73,75,75,77,78
Jon       	 360	69,69,73,73,76,76,79,83,84,84
