BobS      	 338	67,67,68,68,68,68,69,72,80,80
Vince     	 340	67,68,68,68,69,69,70,71,74,80
Russell   	 341	68,68,68,68,69,70,72,80,80,80
ProPaul   	 344	68,68,69,69,70,80,80,80,80,80
Dave      	 345	68,69,69,69,70,73,79,80,80,80
RobG      	 346	68,69,69,70,70,74,79,80,80,80
PaulT     	 347	69,69,69,70,70,71,80,80,80,80
DonO      	 347	68,68,69,70,72,72,77,80,80,80
John      	 348	68,69,69,70,72,74,79,80,80,80
JohnSr    	 348	68,68,69,70,73,79,80,80,80,80
Tana      	 348	68,68,68,70,74,80,80,80,80,80
Spitz     	 349	68,68,69,72,72,74,74,80,80,80
Gardiner  	 350	67,69,69,72,73,79,80,80,80,80
Wouter    	 350	68,69,69,70,74,80,80,80,80,80
Mac       	 351	68,68,71,72,72,80,80,80,80,80
Peter     	 352	68,69,70,71,74,77,80,80,80,80
Frankie   	 352	68,68,72,72,72,79,80,80,80,80
Dano      	 354	68,70,70,72,74,74,79,80,80,80
Marco     	 354	68,69,70,73,74,78,80,80,80,80
Tracy     	 354	68,68,69,74,75,80,80,80,80,80
Nick      	 357	68,70,72,73,74,80,80,80,80,80
Gary      	 358	68,69,73,74,74,80,80,80,80,80
Jerry     	 360	68,70,70,72,80,80,80,80,80,80
Crockett  	 363	69,69,72,73,80,80,80,80,80,80
Sallie    	 366	68,69,72,77,80,80,80,80,80,80
Mike      	 367	68,69,70,80,80,80,80,80,80,80
Ron       	 368	67,68,74,79,80,80,80,80,80,80
RobT      	 370	68,69,74,79,80,80,80,80,80,80
Jon       	 373	68,74,74,77,80,80,80,80,80,80
ProDan    	 377	68,69,80,80,80,80,80,80,80,80
Tanja     	 380	72,74,74,80,80,80,80,80,80,80
