JohnSr    	 339	63,68,68,69,71,72,73,74,75,75
Gardiner  	 341	63,68,68,71,71,72,72,73,74,76
Dano      	 343	66,68,69,70,70,71,72,74,76,80
Frankie   	 345	68,68,69,70,70,72,72,73,74,78
Spitz     	 347	69,69,69,70,70,71,71,72,74,81
Vince     	 347	66,69,70,71,71,72,72,72,74,75
John      	 348	68,69,70,70,71,71,72,72,73,74
Nick      	 349	68,69,70,71,71,73,73,74,76,76
RobG      	 350	68,68,71,71,72,72,73,74,74,78
Peter     	 350	67,69,70,71,73,73,74,78,78,79
Mike      	 350	68,69,71,71,71,73,75,75,75,76
Crockett  	 350	63,71,72,72,72,74,74,74,75,77
BobS      	 352	69,70,70,71,72,72,72,73,74,75
PaulT     	 352	69,69,71,71,72,72,74,74,74,76
Ron       	 352	68,69,70,72,73,74,75,76,77,78
RobT      	 353	68,70,71,72,72,73,74,74,75,77
Tana      	 353	69,69,71,72,72,73,74,74,78,78
Tracy     	 353	68,70,70,72,73,74,74,74,74,77
Jerry     	 354	70,71,71,71,71,72,72,76,80,80
Marco     	 354	70,70,71,71,72,72,73,73,74,77
Russell   	 354	70,70,71,71,72,73,74,74,76,80
Dave      	 354	68,71,71,72,72,74,74,74,75,75
Wouter    	 355	69,70,72,72,72,72,74,76,80,85
DonO      	 356	69,71,72,72,72,72,72,74,75,78
ProPaul   	 356	70,71,71,72,72,72,73,74,76,80
Gary      	 356	70,70,71,72,73,74,75,75,75,80
Sallie    	 356	69,70,72,72,73,74,76,78,78,79
Mac       	 357	71,71,71,72,72,78,78,78,79,80
Tanja     	 358	70,71,72,72,73,73,74,78,78,80
ProDan    	 359	70,71,72,73,73,74,75,76,77,77
Jon       	 359	69,70,73,73,74,75,77,77,78,79
