jenet     	 423	69,70,70,70,71,73,74,74,75,79
crockett  	 424	70,70,70,71,71,72,72,74,74,78
wayne     	 424	69,69,70,71,71,74,74,75,75,77
potter    	 425	70,70,71,71,71,72,73,75,75,79
john      	 426	70,70,70,71,72,73,74,74,75,77
ben       	 426	70,70,70,70,73,73,74,75,76,78
robt      	 426	70,70,70,71,71,74,74,75,78,78
mac       	 427	70,70,71,71,72,73,75,75,76,84
mike      	 429	69,70,71,73,73,73,73,74,77,78
prodan    	 429	70,70,71,71,73,74,76,77,78,78
dano      	 430	69,70,71,73,73,74,74,74,75,78
vince     	 430	70,71,71,72,73,73,75,75,78,79
johnsr    	 431	70,71,72,72,73,73,74,75,76,77
butch     	 431	70,70,72,72,73,74,75,76,77,77
jerry     	 432	70,70,70,73,74,75,76,76,78,79
tanja     	 433	70,71,71,73,74,74,76,77,78,79
nick      	 434	70,71,71,73,74,75,75,78,78,79
nik       	 435	69,73,73,73,73,74,74,78,79,79
bryan     	 436	70,72,73,73,74,74,75,76,76,78
paulie    	 437	72,72,73,73,73,74,74,76,77,84
pt        	 437	71,71,72,74,74,75,76,76,77,79
robg      	 437	70,70,71,74,75,77,78,78,78,80
tana      	 439	71,71,73,74,75,75,75,76,76,76
