jenet     	 276	68,69,69,70,73,74,75,78,79,79
crockett  	 276	68,69,69,70,73,76,79,79,79,79
john      	 278	68,69,70,71,71,73,78,79,79,79
mike      	 282	68,70,70,74,74,74,79,79,79,79
mac       	 283	68,71,71,73,73,75,76,79,79,79
prodan    	 284	70,70,71,73,73,78,79,79,79,79
bryan     	 284	69,70,72,73,74,77,79,79,79,79
dano      	 284	68,70,73,73,74,79,79,79,79,79
tanja     	 286	69,72,72,73,73,79,79,79,79,79
wayne     	 287	69,72,73,73,74,74,75,79,79,79
paulie    	 287	69,72,73,73,74,75,79,79,79,79
jerry     	 287	68,72,73,74,75,78,79,79,79,79
robt      	 287	68,71,73,75,79,79,79,79,79,79
ben       	 288	71,72,72,73,73,75,79,79,79,79
potter    	 288	70,72,73,73,75,77,79,79,79,79
butch     	 289	71,72,72,74,79,79,79,79,79,79
pt        	 291	70,72,74,75,79,79,79,79,79,79
vince     	 294	70,74,75,75,77,79,79,79,79,79
johnsr    	 295	73,73,74,75,79,79,79,79,79,79
robg      	 295	70,73,73,79,79,79,79,79,79,79
tana      	 295	70,72,75,78,79,79,79,79,79,79
nik       	 296	69,74,76,77,79,79,79,79,79,79
nick      	 301	73,74,75,79,79,79,79,79,79,79
