mac       	 427	69,69,70,72,72,75,77,77,80,86
jerry     	 427	69,70,70,72,72,74,74,75,80,84
jenet     	 428	69,70,71,72,73,73,74,74,74,77
john      	 430	69,69,72,73,73,74,74,75,78,79
bryan     	 430	69,70,71,73,73,74,75,75,76,77
prodan    	 433	69,71,72,72,74,75,75,75,75,75
robg      	 434	69,69,72,74,75,75,76,77,78,84
nick      	 434	69,70,73,74,74,74,75,75,75,78
paulie    	 434	70,71,72,73,73,75,75,76,76,86
pt        	 434	71,71,72,72,74,74,75,75,78,79
vince     	 434	71,72,72,72,73,74,74,75,77,79
crockett  	 435	69,71,73,73,74,75,75,78,79,81
ben       	 435	69,72,72,73,74,75,75,75,77,77
potter    	 435	69,72,72,73,74,75,76,78,78,80
johnsr    	 436	69,70,72,74,75,76,79,80,80,82
wayne     	 436	69,72,73,73,74,75,75,76,77,78
tanja     	 436	69,72,73,74,74,74,75,78,81,81
dano      	 437	69,72,72,74,75,75,76,77,77,78
nik       	 437	70,72,73,73,74,75,75,76,77,77
mike      	 438	71,72,72,74,74,75,76,76,77,77
robt      	 439	69,73,73,74,75,75,75,77,77,78
tana      	 440	71,72,73,73,75,76,76,78,80,80
butch     	 445	72,72,74,75,76,76,77,77,79,80
